participant_id,typeform_response_id,What is your prolific ID?,"How often have you experienced or witnessed safety-related incidents (e.g., crime, emergencies) in your city that affect how safe you feel?",Do you live North or South of the UK?,How much do you trust local government institutions?,How comfortable are you with understanding and using new technologies?,Response Type,Stage Date (UTC),Status,Custom study tncs accepted at,Deception,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Political affiliation (uk)
03193a0a-7a57-459c-a6ce-d8941eb890bc,v0o42bpchlv8lxe4aipv0o42bplz4ose,5dcff490b043890effa91b55,Rarely,North,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,58.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,,,
5e63839b-c6e8-48a3-ada9-a3ebe68fa3c7,18e3by5ge303j8xzlr1ayp018e3bav4f,5e0b3d5dbf3d4e3868abc3ea,Rarely,South,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,53.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,,,
ec31cbe8-107a-4601-bc6c-9759fd0e3c26,4845gim90xtluvh1c4845gxyh3zejiy7,668561a760077ecefc499310,Rarely,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,26.0,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,
83062bf4-eca9-40b6-b256-2c39428dd218,v551mt8xx40ihl1pbg0c6v551mt078dl,67160b592ebef9d43b6f383e,Sometimes,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,35.0,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,
cd0288f6-3266-45e9-8e8f-b57c7130b97d,ojcwb2uv7gasq52ahnpqoojcwb2uv7r9,5929c96027ea400001301061,Rarely,South,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,52.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,,,
5bcbee53-0f28-41d6-804b-84d6939160ff,k288rydt381p1s6kiz7k288ryp39qm4i,6672d9ae0a2fc6fd8ad00fd5,Often,North,Distrust,Comfortable,completed,,TIMED-OUT,Not Applicable,,45.0,,White,Romania,United Kingdom,,Romanian,,,
93acda70-2758-4487-8698-fcc0e1868441,fgrgvpru53d8c2qi2xtl9qfgrgvp9n1y,6707b73cc66a645d57169e03,Often,North,Neutral,Uncomfortable,completed,,APPROVED,Not Applicable,,46.0,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
e58eda81-2401-4414-a924-b4c700fe1bd4,uovvtdfogryudi6uovvthohybw2fh5ha,636cc5fa559ec4d93e272972,Often,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,55.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,,,
13de5748-949b-4f4c-a82f-165e2682ff76,yxvszol66j4rm8x0ssgyxvszoo21bzvy,5c7ed8dfe82bf100010fb514,Rarely,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,45.0,Female,Black,South Africa,United Kingdom,United Kingdom,Swahili,,,
88b54617-b353-4024-99cc-c62ee7709fcf,1z7jkv3tuntikjtxp1z7jkv9peugm4d4,65c186bb00af1af81e3f5e49,Sometimes,South,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,52.0,Female,Black,United States,United States,United States,English,No,Part-Time,
f53c3627-1cff-484a-8489-024ed40d9a22,txla5z4yeowxhxf5etxla5zw2qrvkdzf,646dc9848e53ff1705d8c9c5,Rarely,South,Strongly distrust,Neutral,completed,,APPROVED,Not Applicable,,49.0,Female,Other,United States,United Kingdom,United States,English,,Other,
96764f78-bb09-4c0d-9430-aa2fa2cdaea6,0ntyfcjq01mjn4i40ntyfcriu6hkaskr,5f8f070be1058d0f59279d4d,Rarely,South,Distrust,Very comfortable,completed,,TIMED-OUT,Not Applicable,,24.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
54bc5be6-af20-489c-b2be-55f0b7010d81,2nyelxxx3f4pabmu2nyen6u6xkhbjrh0,617473c7a957c695f9f935dd,Sometimes,South,Trust,Very comfortable,completed,,TIMED-OUT,Not Applicable,,30.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
c00d6bc3-de5a-4585-b457-d328a7042c3e,7w4nzmbgcos7uyz83c25w7w4nzv1338b,66868c1a85ea7e95f11025eb,Often,North,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,48.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
290a4b96-2985-4e5d-b969-caeac09c44fe,d4824b7lrchuagl97fgd48lrjszu40dn,6447a166cb504ea78f43d940,Rarely,South,Neutral,Comfortable,completed,,TIMED-OUT,Not Applicable,,38.0,Female,White,Bulgaria,United Kingdom,Bulgaria,Bulgarian,,,
a21ab265-9285-4460-b779-9fcbf16d6a23,ylsrmqhsuf6fln4nyswtlylsrmq4exn2,61113ad836a1f1b60f4c9389,Sometimes,North,Strongly distrust,Very comfortable,completed,,TIMED-OUT,Not Applicable,,71.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,,,
11c78ad5-e768-4282-86dd-73c006da9fe4,hvz8byrtdu4m6rzjhvz8bchjxzocx42x,67163908d163cdb3d7a8012a,Never,North,Neutral,Very uncomfortable,completed,,TIMED-OUT,Not Applicable,,30.0,Male,Asian,India,United Kingdom,India,English,Yes,,
79cdadda-6957-4129-ad20-63067d74b885,fuygpfgph4fxslfuygdf4a51hc23z7n0,66674330919dd06aef0f300f,Sometimes,North,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,52.0,Female,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time,
84bcff7a-7bbd-4c01-b3f8-d91bb66998fd,uqsxdzyzcchw9hmsrucyuqsxdzn5jaoh,604822031f4666160f00b04a,Sometimes,South,Distrust,Comfortable,completed,,TIMED-OUT,Not Applicable,,71.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
5807fc37-b211-48eb-b305-ff749791c96b,tkq570y9b0vx8725utkq5705rbome1vn,65b2b44a47f7718b68283556,Rarely,North,Strongly distrust,Comfortable,completed,,TIMED-OUT,Not Applicable,,55.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,,,
a7021426-2186-4ea7-b7f8-fa8f5d20939b,lr7xzmw39d7hmviz973lr7xzmw1lyrnl,66881061cc3ca6d04d431240,Rarely,South,Neutral,Very comfortable,completed,,TIMED-OUT,Not Applicable,,27.0,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
bb45fb18-2d79-4e21-996a-07caf7c94373,ktat64o0mouwm3avtktat6bzfj99ryq2,616446c54ec10a56f2070911,Rarely,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,45.0,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
e73c83cb-21e2-450f-9872-647005686c56,ytzap42mtk76py2mwytbw9lf4jbupoag,62c4590804317dc197ecbe8a,Rarely,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,52.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Right
98bc2602-e6b7-45a9-a7b6-0bc53fb832ea,vvys8la9oayegmhq9bvvys8g2por7ml7,5f20678a817321134bd74855,Sometimes,South,Distrust,Neutral,completed,,APPROVED,Not Applicable,,41.0,Female,White,Italy,United Kingdom,Italy,Italian,No,Full-Time,
b0af4437-95da-491f-8594-ebc22f1fdd2d,4yg73ghxpparoiwfqpvl64yg92glmvlk,5c0f8d00367ee9000125404a,Sometimes,South,Strongly trust,Comfortable,completed,,APPROVED,Not Applicable,"Yes, I would be comfortable to take part in such a study",33.0,Male,White,Germany,Germany,Germany,German,,,
8f4340e0-09a7-423e-bceb-93cef17b4605,9ciymv5faxlt92okwdym9ciymv5fa4i5,5ba94943d08ab20001c8437a,Sometimes,South,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,35.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
009cb95d-ec1b-47ff-b2bc-fc49556b25b8,kl534g8mudgoohyg8izkl53a8wk4s4y0,66881a8fe396f4f33f070d64,Very often,South,Distrust,Very comfortable,completed,,APPROVED,Not Applicable,,31.0,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,Centre
6b3114b9-079c-438e-a07a-1f983887f9bf,71eraybpmhdxxm775hx71erayi00l7d4,5d853d4eecc7dc001850467f,Rarely,South,Trust,Comfortable,completed,,RETURNED,Not Applicable,,,,,,,,,,,
6b3114b9-079c-438e-a07a-1f983887f9bf,71eraybpmhdxxm775hx71erayi00l7d4,5d853d4eecc7dc001850467f,Rarely,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,44.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
6b3114b9-079c-438e-a07a-1f983887f9bf,71eraybpmhdxxm775hx71erayi00l7d4,5d853d4eecc7dc001850467f,Rarely,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,"Yes, I would be comfortable to take part in such a study",44.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
816aa8de-06b8-4bd4-ac58-3c928649286f,4qkkyc6ka1cqzt4qkk3n8vkj54alz6zn,672408867a09fe9da8f9c099,Often,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,24.0,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
b9926db9-820d-45a2-ae8d-71ebe10de3e3,pkopv42waue803vusypkoplkfpn7wjz1,671a3a915684c82d06bd8a3e,Never,North,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,32.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
e76be94e-b165-4fa8-8ace-d572774ed442,8nurwygmezbob9rf045df8nurwygmlwo,605bfe34b95bfaa4eb7497da,Rarely,South,Trust,Comfortable,completed,,APPROVED,Not Applicable,,55.0,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Centre
a8d2007b-1502-44f9-a7f2-be16a8fdfed4,42vh3l6x87jdalsfe42vh3noil3mr079,5f50db74e0a90c263c68207e,Sometimes,North,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,32.0,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
787ab481-5927-438d-805d-40ddb87b898e,cbrpvej073cppd7j4aycbrpvejze4qz1,666430244c9c647750ac4b1c,Never,South,Strongly trust,Very comfortable,completed,,APPROVED,Not Applicable,,68.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Left
f642defa-74c5-4f59-aca0-787dc636182f,d04l5kk7inbxm13u25d04l5kusmsbarh,63e52208b3208534c48c13ff,Sometimes,North,Trust,Comfortable,completed,,APPROVED,Not Applicable,,44.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Centre
f2832a3f-f1a4-4ceb-bc22-d3fee098a852,5lrm7ltis30cecfqzy5lrf4dsfl0gbxp,6647d07aa461df21d6344f2b,Often,South,Neutral,Neutral,completed,,APPROVED,Not Applicable,,37.0,Female,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
780a6912-4065-414d-ac4b-68c21f8c69c0,tkms766vv8dc4qjbmmvhtkms76af46w2,66bfd3867e3dd5e2c19650b9,Never,South,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,27.0,Male,Asian,India,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),Right
2823fac7-4e8c-4cfe-9111-5a99a78e1583,6nfpvbsbe6icv7t36nfy8g5ucg0rlhqx,664cdddf498efcba503a89ef,Often,South,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,26.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
e40d157c-699c-42a0-b05b-d5924c677a57,yp8paatrg248qxiqts7987u3yp8paatr,5d3bfbebfd9694001a2d0f99,Rarely,North,Distrust,Very comfortable,completed,,APPROVED,Not Applicable,,37.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
f0d12717-c76b-4a97-b58a-8ca01b89f37a,ivi5fbkdwe7alprd9livi5fd1tt21ih4,671f9fa9267b74c50e43f6d3,Never,North,Neutral,Comfortable,completed,,APPROVED,Not Applicable,,56.0,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,,Centre
